"left_1","left_2","left_3","right_1","right_2","right_3"
"16.8","16.9","16","16.5","16.2","16.3"
"28.9","29","28.1","28.6","28.3","28.3"
"39.6","39.7","38.8","39.3","39","39"
"46.9","46.9","46","46.6","46.3","46.3"
"63","63.1","62.2","62.7","62.4","62.5"
"72.4","72.5","71.6","72.1","71.8","71.8"
"83.5","83.5","82.6","83.2","82.9","82.9"
"11.8","12.1","12.3","12.1","11.7","12.2"
"11.8","12.1","12.3","12.1","11.7","12.2"
"24.3","24.6","24.9","24.6","24.3","24.8"
"33.6","33.9","34.1","33.9","33.6","34.1"
"36.9","37.2","37.5","37.2","36.9","37.4"
