"left_1","left_2","left_3","right_1","right_2","right_3"
"9.3","30.78","8.19","6.3","32.79","34.5"
"9.3","19.58","28.68","18.89","0","6.9"
"9.3","8.39","12.29","31.49","8.19","20.7"
"15.5","0","12.29","12.6","0","0"
"6.2","16.78","12.29","12.6","16.39","0"
"15.5","22.38","32.78","25.19","8.19","13.8"
"27.9","8.39","12.29","31.49","0","20.7"
"0","11.19","28.68","0","24.59","27.6"
"6.2","5.6","20.49","25.19","8.19","13.8"
"12.4","0","24.58","12.6","8.19","0"
"0","2.8","28.68","18.89","0","6.9"
