"left_1","left_2","left_3","right_1","right_2","right_3"
"16.47","68.69","54.23","27.01","33.06","33.36"
"32.11","28.10","78.76","39.24","77.92","78.64"
"52.69","6.24","11.62","55.32","37.78","38.13"
"71.63","78.06","41.32","70.11","92.09","92.94"
"80.69","12.49","55.52","77.19","18.89","19.06"
"88.10","40.59","67.14","82.97","40.14","40.51"
"97.15","74.94","81.35","90.05","66.11","66.73"
"9.88","21.86","1.29","0.64","2.36","2.38"
"23.88","74.94","23.24","11.58","42.50","42.90"
"37.05","24.98","43.90","21.87","80.28","81.03"
"51.05","78.06","65.85","32.80","21.25","21.45"
