"left_1","left_2","left_3","right_1","right_2","right_3"
"65.7","72","73.2","66.2","66.4","66.6"
"79.8","86.1","87.3","80.4","80.6","80.8"
"18.3","18","18.3","17.2","18.3","18"
"53.2","53.2","53.6","53.7","53","53.1"
"53.2","53.2","53.6","53.7","53","53.1"
"53.2","53.2","53.6","53.7","53","53.1"
"62.9","62.9","63.4","63.5","62.7","62.8"
"83.2","83.2","83.6","83.8","83","83.1"
"83.2","83.2","83.6","83.8","83","83.1"
"4.5","5.1","4.7","5.2","4.5","4.6"
"27.6","28.2","27.8","28.3","27.5","27.7"
"27.6","28.2","27.8","28.3","27.5","27.7"
