"left_1","left_2","left_3","right_1","right_2","right_3"
"10.2","7.2","9.4","4.9","5.2","13"
"10.1","6.8","10.5","5","6.5","11.9"
"8.4","3.9","7.3","4.9","5.1","21.1"
"10.6","6","21.8","2.4","3.3","6.6"
"10.4","6.7","12.1","4.3","6","11.3"
"9.4","5.2","12.6","4.4","5.6","12.9"
"3.7","7","15.1","4.7","2.6","17.8"
"7.1","6.3","14.1","3.4","3.8","16.1"
"8.9","7","10.9","6.2","6.7","11.1"
"-0.1","0","-0.1","25.1","15.2","11.3"
"24.7","10.9","15.4","0","0","-0.1"
"0.2","0","-0.1","0","0","0"
