"left_1","left_2","left_3","right_1","right_2","right_3"
"9.3","7.1","9.8","7.1","6.1","11.6"
"9.4","7.6","9.7","5.6","6.6","12.3"
"8.1","5.6","6.5","6.6","6.3","18"
"9.1","6.8","20.3","2.5","3.4","8.9"
"8.4","5.7","13.9","3.9","4.3","14.6"
"8.5","5.1","14.7","3.6","4.1","14.8"
"3.4","6.7","15.8","4.8","2.8","17.7"
"10.5","6.5","9.6","6.2","7","11"
"9","6.9","10.8","6.5","7","10.6"
"0","-0.1","-0.1","15.9","12.1","23.1"
"32.3","8.3","10.7","0","-0.1","0"
"29.5","9.2","11.8","0","-0.1","0"
