"left_1","left_2","left_3","right_1","right_2","right_3"
"10.3","5.9","17.7","5.1","8.6","17.4"
"11.4","6.1","16.6","6.3","10.2","14.6"
"8.9","3.7","15.4","5","9.5","22.6"
"11.2","5.4","25.3","3.9","8.6","10.6"
"10.1","5.3","21.1","4.3","9.8","14.7"
"10.2","5.7","14.9","4.8","8.7","20.7"
"9.1","5.4","16.2","5.5","10.1","18.7"
"8.2","5","19.5","3.7","9.5","19"
"7.4","3.3","22.8","2.8","8.1","20.8"
"0","0","-0.1","21.8","19.7","23.8"
"26.9","16.3","21.8","0","0","0"
